date,season,team,opponent,moneyLine,projectedRuns
2018-04-17,2018,STL,CHC,118,3.67
2018-04-17,2018,MIL,CIN,-149,5.39
2018-04-17,2018,MIN,CLE,170,2.96
2018-04-17,2018,PIT,COL,-131,4.54
2018-04-17,2018,OAK,CWS,-187,5.54
2018-04-17,2018,BAL,DET,-110,4.71
2018-04-17,2018,SEA,HOU,172,2.94
2018-04-17,2018,TOR,KC,-215,6.14
2018-04-17,2018,TOR,KC,-153,5.44
2018-04-17,2018,BOS,LAA,151,3.19
2018-04-17,2018,SD,LAD,196,2.53
2018-04-17,2018,NYY,MIA,-345,6.98
2018-04-17,2018,CIN,MIL,134,3.85
2018-04-17,2018,CLE,MIN,-200,5.33
2018-04-17,2018,WSH,NYM,-113,3.98
2018-04-17,2018,MIA,NYY,295,2.28
2018-04-17,2018,CWS,OAK,167,3.18
2018-04-17,2018,ATL,PHI,-109,4.43
2018-04-17,2018,COL,PIT,116,3.7
2018-04-17,2018,LAD,SD,-226,5.2
2018-04-17,2018,HOU,SEA,-202,5.35
2018-04-17,2018,ARI,SF,-150,4.8
2018-04-17,2018,CHC,STL,-128,4.49
2018-04-17,2018,TEX,TB,131,3.68
2018-04-17,2018,TB,TEX,-146,5.04
2018-04-17,2018,KC,TOR,185,3.16
2018-04-17,2018,KC,TOR,138,3.78
2018-04-17,2018,NYM,WSH,103,3.69
2018-04-18,2018,SF,ARI,152,3.17
2018-04-18,2018,PHI,ATL,113,4.23
2018-04-18,2018,DET,BAL,111,4.03
2018-04-18,2018,LAA,BOS,-101,4.02
2018-04-18,2018,MIL,CIN,-139,5.23
2018-04-18,2018,MIN,CLE,106,3.88
2018-04-18,2018,PIT,COL,-123,4.14
2018-04-18,2018,OAK,CWS,-205,6.05
2018-04-18,2018,BAL,DET,-121,4.65
2018-04-18,2018,SEA,HOU,160,2.88
2018-04-18,2018,TOR,KC,-197,5.31
2018-04-18,2018,BOS,LAA,-109,4.17
2018-04-18,2018,SD,LAD,150,2.8
2018-04-18,2018,CIN,MIL,124,4.02
2018-04-18,2018,CLE,MIN,-116,4.3
2018-04-18,2018,WSH,NYM,-101,4.02
2018-04-18,2018,CWS,OAK,175,3.27
2018-04-18,2018,ATL,PHI,-123,4.96
2018-04-18,2018,COL,PIT,113,3.52
2018-04-18,2018,LAD,SD,-165,4.36
2018-04-18,2018,HOU,SEA,-180,4.82
2018-04-18,2018,ARI,SF,-167,5.0
2018-04-18,2018,TEX,TB,-132,4.55
2018-04-18,2018,TB,TEX,117,3.69
2018-04-18,2018,KC,TOR,177,2.89
2018-04-18,2018,NYM,WSH,-109,4.17
2018-04-19,2018,SF,ARI,153,3.36
2018-04-19,2018,NYM,ATL,-105,4.87
2018-04-19,2018,DET,BAL,101,4.48
2018-04-19,2018,LAA,BOS,101,4.23
2018-04-19,2018,STL,CHC,113,3.29
2018-04-19,2018,BAL,DET,-111,4.73
2018-04-19,2018,SEA,HOU,165,3.21
2018-04-19,2018,BOS,LAA,-111,4.47
2018-04-19,2018,MIL,MIA,-187,5.86
2018-04-19,2018,MIA,MIL,167,3.37
2018-04-19,2018,ATL,NYM,-105,4.87
2018-04-19,2018,TOR,NYY,145,3.67
2018-04-19,2018,PIT,PHI,-117,3.77
2018-04-19,2018,PHI,PIT,107,3.38
2018-04-19,2018,HOU,SEA,-185,5.52
2018-04-19,2018,ARI,SF,-173,5.39
2018-04-19,2018,CHC,STL,-123,3.86
2018-04-19,2018,NYY,TOR,-160,5.54
2018-04-20,2018,SD,ARI,101,4.23
2018-04-20,2018,NYM,ATL,-140,4.38
2018-04-20,2018,CLE,BAL,-123,4.14
2018-04-20,2018,OAK,BOS,119,3.88
2018-04-20,2018,COL,CHC,-102,4.8
2018-04-20,2018,STL,CIN,-215,5.8
2018-04-20,2018,BAL,CLE,113,3.52
2018-04-20,2018,CHC,COL,-108,4.93
2018-04-20,2018,HOU,CWS,-266,6.18
2018-04-20,2018,KC,DET,119,4.11
2018-04-20,2018,KC,DET,-104,4.08
2018-04-20,2018,CWS,HOU,226,2.61
2018-04-20,2018,DET,KC,-129,5.07
2018-04-20,2018,DET,KC,-106,4.12
2018-04-20,2018,SF,LAA,140,3.54
2018-04-20,2018,WSH,LAD,136,2.33
2018-04-20,2018,MIL,MIA,-163,5.58
2018-04-20,2018,MIA,MIL,148,3.63
2018-04-20,2018,TB,MIN,-135,4.6
2018-04-20,2018,ATL,NYM,125,3.33
2018-04-20,2018,TOR,NYY,173,3.11
2018-04-20,2018,BOS,OAK,-134,4.87
2018-04-20,2018,PIT,PHI,-104,4.08
2018-04-20,2018,PHI,PIT,-106,4.12
2018-04-20,2018,ARI,SD,-111,4.47
2018-04-20,2018,TEX,SEA,-130,5.37
2018-04-20,2018,LAA,SF,-155,5.17
2018-04-20,2018,CIN,STL,185,2.98
2018-04-20,2018,MIN,TB,120,3.64
2018-04-20,2018,SEA,TEX,115,4.42
2018-04-20,2018,NYY,TOR,-193,5.6
2018-04-20,2018,LAD,WSH,-151,3.31
2018-04-21,2018,SD,ARI,150,3.2
2018-04-21,2018,NYM,ATL,-163,5.27
2018-04-21,2018,CLE,BAL,-205,6.39
2018-04-21,2018,OAK,BOS,155,2.94
2018-04-21,2018,COL,CHC,119,4.34
2018-04-21,2018,STL,CIN,-223,5.87
